Name,Type,Parent,Role,X_m,Y_m,Z_m,DX_m,DY_m,DZ_m
Aft_Deckhouse,MESH,Superstructure,structure,0.0,-41.0,7.296845,12.4,23.0,4.0
Aft_Platform,MESH,Superstructure,structure,0.0,-42.0,9.476846,15.0,24.0,0.35
Armour_Belt_229mm,MESH,Queen_Mary,armour_belt,0.0,0.0,0.0,26.870113,95.0,3.0
Armour_Belt_Taper_102mm_Aft,MESH,Queen_Mary,armour_belt,0.0,0.0,0.0,19.033155,25.0,2.8
Armour_Belt_Taper_102mm_Fwd,MESH,Queen_Mary,armour_belt,0.0,0.0,0.0,26.056166,52.5,2.8
Armour_Bulkhead_Aft,MESH,Queen_Mary,armour_bulkhead,0.0,0.0,0.0,21.8174,0.100006,14.741154
Armour_Bulkhead_Fwd,MESH,Queen_Mary,armour_bulkhead,0.0,0.0,0.0,24.949245,0.099998,14.960125
Armour_Deck_25mm,MESH,Queen_Mary,armour_deck,0.0,0.0,0.0,21.030966,190.0,0.025
Armour_Deck_64mm,MESH,Queen_Mary,armour_deck,0.0,0.0,0.0,25.859514,205.5,0.064
Armour_Upper_Belt_152mm,MESH,Queen_Mary,armour_belt,0.0,0.0,0.0,27.054092,95.0,2.4
B_Superfiring_Deckhouse,MESH,Superstructure,structure,0.0,46.0,9.126052,11.8,14.0,3.747895
Barbette_A,MESH,Queen_Mary,barbette,0.0,60.0,7.823658,9.8,9.8,1.02
Barbette_B,MESH,Queen_Mary,barbette,0.0,46.0,11.51,9.8,9.8,1.02
Barbette_Q,MESH,Queen_Mary,barbette,0.0,-6.0,7.480476,9.8,9.8,1.02
Barbette_X,MESH,Queen_Mary,barbette,0.0,-68.0,6.090874,9.8,9.8,1.22
Barrel_A_Port,MESH,Elevation_A,main_gun_barrel,0.0,64.0,9.813658,1.1,12.549999,1.1
Barrel_A_Starboard,MESH,Elevation_A,main_gun_barrel,0.0,64.0,9.813658,1.1,12.549999,1.1
Barrel_B_Port,MESH,Elevation_B,main_gun_barrel,0.0,50.0,13.5,1.1,12.549999,1.1
Barrel_B_Starboard,MESH,Elevation_B,main_gun_barrel,0.0,50.0,13.5,1.1,12.549999,1.1
Barrel_Q_Port,MESH,Elevation_Q,main_gun_barrel,0.0,-10.0,9.470476,1.1,12.549999,1.1
Barrel_Q_Starboard,MESH,Elevation_Q,main_gun_barrel,0.0,-10.0,9.470476,1.1,12.549999,1.1
Barrel_X_Port,MESH,Elevation_X,main_gun_barrel,0.0,-72.0,8.180874,1.1,12.549999,1.1
Barrel_X_Starboard,MESH,Elevation_X,main_gun_barrel,0.0,-72.0,8.180874,1.1,12.549999,1.1
Boiler_Room_1,MESH,Damage_Modules,boiler_room,0.0,33.0,-4.0,14.0,9.0,6.0
Boiler_Room_2,MESH,Damage_Modules,boiler_room,0.0,23.0,-4.0,14.0,9.0,6.0
Boiler_Room_3,MESH,Damage_Modules,boiler_room,0.0,13.0,-4.0,14.0,9.0,6.0
Boiler_Room_4,MESH,Damage_Modules,boiler_room,0.0,3.0,-4.0,14.0,9.0,6.0
Boiler_Room_5,MESH,Damage_Modules,boiler_room,0.0,-15.0,-4.0,14.0,9.0,6.0
Boiler_Room_6,MESH,Damage_Modules,boiler_room,0.0,-25.0,-4.0,13.959547,9.0,6.0
Boiler_Room_7,MESH,Damage_Modules,boiler_room,0.0,-35.0,-4.0,13.707741,9.0,6.0
Bridge,MESH,Superstructure,bridge,0.0,32.0,10.286626,12.4,12.0,6.2
Bridge_Upper,MESH,Superstructure,structure,0.0,31.0,14.786626,8.6,7.0,2.8
Bridge_Visor,MESH,Superstructure,structure,0.0,31.0,16.361626,10.2,8.0,0.35
Bridge_Wings,MESH,Superstructure,structure,0.0,31.5,13.446627,17.0,5.0,0.55
Casemate_Openings_Port,MESH,Queen_Mary,casemate_opening,0.0,0.0,0.0,0.768333,44.449997,1.3
Casemate_Openings_Starboard,MESH,Queen_Mary,casemate_opening,0.0,0.0,0.0,0.768333,44.449997,1.3
Casemate_Port_1,MESH,Queen_Mary,secondary_gun,-12.986667,54.0,6.25,0.28,2.85,0.28
