campaign,case_id,outer_mm,inner_mm,rear_mm,resistance,speed,angle,refpen,fuse_mode,fuse_delay,samples,blast,seed,outcome,final_speed,duration,events,fragments,frag_escapes,boiler,engine,pump,det_ok
C1_armour_speed_angle,O0_S200_A0,0,25,40,1,200,0,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,107,0.313,0.025,0.122,1
C1_armour_speed_angle,O0_S200_A10,0,25,40,1,200,10,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,109,0.306,0.025,0.118,1
C1_armour_speed_angle,O0_S200_A20,0,25,40,1,200,20,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,112,0.286,0.024,0.112,1
C1_armour_speed_angle,O0_S200_A30,0,25,40,1,200,30,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,116,0.248,0.023,0.104,1
C1_armour_speed_angle,O0_S400_A0,0,25,40,1,400,0,400,1,0.012,192,1,1913,detonated,370.81,0.0320,5,192,0,1.000,0.108,0.345,1
C1_armour_speed_angle,O0_S400_A10,0,25,40,1,400,10,400,1,0.012,192,1,1913,detonated,370.34,0.0320,5,192,0,1.000,0.103,0.316,1
C1_armour_speed_angle,O0_S400_A20,0,25,40,1,400,20,400,1,0.012,192,1,1913,detonated,368.86,0.0320,4,192,60,1.000,0.092,0.280,1
C1_armour_speed_angle,O0_S400_A30,0,25,40,1,400,30,400,1,0.012,192,1,1913,detonated,366.09,0.0320,4,192,84,1.000,0.077,0.284,1
C1_armour_speed_angle,O0_S600_A0,0,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,549.09,0.0253,6,192,63,0.676,1.000,0.099,1
C1_armour_speed_angle,O0_S600_A10,0,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,580.65,0.0253,5,192,55,1.000,0.204,0.350,1
C1_armour_speed_angle,O0_S600_A20,0,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,579.70,0.0253,4,192,73,1.000,0.147,0.270,1
C1_armour_speed_angle,O0_S600_A30,0,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,577.94,0.0253,4,192,108,0.771,0.101,0.234,1
C1_armour_speed_angle,O0_S800_A0,0,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,762.56,0.0220,7,192,0,0.555,1.000,0.066,1
C1_armour_speed_angle,O0_S800_A10,0,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,761.97,0.0220,6,192,103,0.550,1.000,0.060,1
C1_armour_speed_angle,O0_S800_A20,0,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,760.10,0.0220,5,192,134,0.088,0.964,0.052,1
C1_armour_speed_angle,O0_S800_A30,0,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,783.59,0.0220,4,192,158,0.072,0.489,0.044,1
C1_armour_speed_angle,O90_S200_A0,90,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.021,0.003,0.014,1
C1_armour_speed_angle,O90_S200_A10,90,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.021,0.003,0.014,1
C1_armour_speed_angle,O90_S200_A20,90,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.021,0.003,0.014,1
C1_armour_speed_angle,O90_S200_A30,90,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.021,0.003,0.014,1
C1_armour_speed_angle,O90_S400_A0,90,25,40,1,400,0,400,1,0.012,192,1,1913,detonated,237.70,0.0320,4,192,51,1.000,0.073,0.395,1
C1_armour_speed_angle,O90_S400_A10,90,25,40,1,400,10,400,1,0.012,192,1,1913,detonated,234.31,0.0320,4,192,52,1.000,0.071,0.378,1
C1_armour_speed_angle,O90_S400_A20,90,25,40,1,400,20,400,1,0.012,192,1,1913,detonated,223.29,0.0320,4,192,55,1.000,0.066,0.354,1
C1_armour_speed_angle,O90_S400_A30,90,25,40,1,400,30,400,1,0.012,192,1,1913,detonated,257.82,0.0320,3,192,52,0.270,0.026,0.108,1
C1_armour_speed_angle,O90_S600_A0,90,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,506.46,0.0253,5,192,43,1.000,0.178,0.370,1
C1_armour_speed_angle,O90_S600_A10,90,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,504.88,0.0253,5,192,50,1.000,0.161,0.378,1
C1_armour_speed_angle,O90_S600_A20,90,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,499.86,0.0253,4,192,66,1.000,0.126,0.256,1
C1_armour_speed_angle,O90_S600_A30,90,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,490.40,0.0253,4,192,84,1.000,0.093,0.260,1
C1_armour_speed_angle,O90_S800_A0,90,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,707.46,0.0220,7,192,0,0.579,1.000,0.074,1
C1_armour_speed_angle,O90_S800_A10,90,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,705.94,0.0220,6,192,83,0.572,1.000,0.067,1
C1_armour_speed_angle,O90_S800_A20,90,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,701.10,0.0220,5,192,121,0.106,0.943,0.058,1
C1_armour_speed_angle,O90_S800_A30,90,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,721.45,0.0220,4,192,146,0.086,0.465,0.050,1
C1_armour_speed_angle,O180_S200_A0,180,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S200_A10,180,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S200_A20,180,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S200_A30,180,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S400_A0,180,25,40,1,400,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S400_A10,180,25,40,1,400,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S400_A20,180,25,40,1,400,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S400_A30,180,25,40,1,400,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.012,0.001,0.008,1
C1_armour_speed_angle,O180_S600_A0,180,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,418.93,0.0253,5,192,0,1.000,0.128,0.346,1
C1_armour_speed_angle,O180_S600_A10,180,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,415.52,0.0253,5,192,0,1.000,0.120,0.315,1
C1_armour_speed_angle,O180_S600_A20,180,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,404.55,0.0253,4,192,50,1.000,0.100,0.277,1
C1_armour_speed_angle,O180_S600_A30,180,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,383.35,0.0253,4,192,72,1.000,0.079,0.241,1
C1_armour_speed_angle,O180_S800_A0,180,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,647.69,0.0220,7,192,0,0.610,1.000,0.084,1
C1_armour_speed_angle,O180_S800_A10,180,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,645.06,0.0220,6,192,78,0.601,1.000,0.076,1
C1_armour_speed_angle,O180_S800_A20,180,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,636.67,0.0220,5,192,101,0.130,0.941,0.066,1
C1_armour_speed_angle,O180_S800_A30,180,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,653.42,0.0220,4,192,104,0.610,0.102,0.211,1
C1_armour_speed_angle,O229_S200_A0,229,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S200_A10,229,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S200_A20,229,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S200_A30,229,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S400_A0,229,25,40,1,400,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S400_A10,229,25,40,1,400,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S400_A20,229,25,40,1,400,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S400_A30,229,25,40,1,400,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.009,0.001,0.006,1
C1_armour_speed_angle,O229_S600_A0,229,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,362.49,0.0253,5,192,0,1.000,0.105,0.344,1
C1_armour_speed_angle,O229_S600_A10,229,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,357.59,0.0253,5,192,0,1.000,0.099,0.316,1
C1_armour_speed_angle,O229_S600_A20,229,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,341.66,0.0253,4,192,54,1.000,0.086,0.323,1
C1_armour_speed_angle,O229_S600_A30,229,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,309.90,0.0253,4,192,62,1.000,0.070,0.247,1
C1_armour_speed_angle,O229_S800_A0,229,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,612.70,0.0220,6,192,42,0.632,1.000,0.090,1
C1_armour_speed_angle,O229_S800_A10,229,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,609.36,0.0220,6,192,77,0.621,1.000,0.081,1
C1_armour_speed_angle,O229_S800_A20,229,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,598.68,0.0220,5,192,89,0.146,0.970,0.070,1
C1_armour_speed_angle,O229_S800_A30,229,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,613.22,0.0220,4,192,97,0.692,0.102,0.223,1
C1_armour_speed_angle,O300_S200_A0,300,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S200_A10,300,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S200_A20,300,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S200_A30,300,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S400_A0,300,25,40,1,400,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S400_A10,300,25,40,1,400,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S400_A20,300,25,40,1,400,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S400_A30,300,25,40,1,400,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.007,0.001,0.005,1
C1_armour_speed_angle,O300_S600_A0,300,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,259.81,0.0253,4,192,49,1.000,0.077,0.403,1
C1_armour_speed_angle,O300_S600_A10,300,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,250.97,0.0253,4,192,54,1.000,0.074,0.340,1
C1_armour_speed_angle,O300_S600_A20,300,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,220.74,0.0253,4,192,55,1.000,0.065,0.354,1
C1_armour_speed_angle,O300_S600_A30,300,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,219.62,0.0253,3,192,52,0.260,0.024,0.106,1
C1_armour_speed_angle,O300_S800_A0,300,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,558.12,0.0220,6,192,63,0.670,1.000,0.098,1
C1_armour_speed_angle,O300_S800_A10,300,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,553.56,0.0220,6,192,77,0.656,1.000,0.088,1
