campaign,case_id,outer_mm,inner_mm,rear_mm,resistance,speed,angle,refpen,fuse_mode,fuse_delay,samples,blast,seed,outcome,final_speed,duration,events,fragments,frag_escapes,boiler,engine,pump,det_ok
C1_armour_speed_angle,O0_S200_A0,0,25,40,1,200,0,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,113,0.188,0.011,0.055,1
C1_armour_speed_angle,O0_S200_A10,0,25,40,1,200,10,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,115,0.185,0.011,0.053,1
C1_armour_speed_angle,O0_S200_A20,0,25,40,1,200,20,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,115,0.159,0.011,0.050,1
C1_armour_speed_angle,O0_S200_A30,0,25,40,1,200,30,400,1,0.012,192,1,1913,detonated,200.00,0.0520,3,192,118,0.144,0.010,0.047,1
C1_armour_speed_angle,O0_S400_A0,0,25,40,1,400,0,400,1,0.012,192,1,1913,detonated,370.81,0.0320,5,192,0,1.000,0.049,0.155,1
C1_armour_speed_angle,O0_S400_A10,0,25,40,1,400,10,400,1,0.012,192,1,1913,detonated,370.34,0.0320,5,192,0,1.000,0.047,0.142,1
C1_armour_speed_angle,O0_S400_A20,0,25,40,1,400,20,400,1,0.012,192,1,1913,detonated,368.86,0.0320,4,192,65,1.000,0.041,0.126,1
C1_armour_speed_angle,O0_S400_A30,0,25,40,1,400,30,400,1,0.012,192,1,1913,detonated,366.09,0.0320,4,192,86,1.000,0.035,0.172,1
C1_armour_speed_angle,O0_S600_A0,0,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,549.09,0.0253,6,192,69,0.452,1.000,0.045,1
C1_armour_speed_angle,O0_S600_A10,0,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,580.65,0.0253,5,192,66,1.000,0.092,0.182,1
C1_armour_speed_angle,O0_S600_A20,0,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,579.70,0.0253,4,192,84,1.000,0.066,0.228,1
C1_armour_speed_angle,O0_S600_A30,0,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,577.94,0.0253,4,192,114,0.553,0.045,0.149,1
C1_armour_speed_angle,O0_S800_A0,0,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,762.56,0.0220,7,192,0,0.397,1.000,0.030,1
C1_armour_speed_angle,O0_S800_A10,0,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,761.97,0.0220,6,192,99,0.395,1.000,0.027,1
C1_armour_speed_angle,O0_S800_A20,0,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,760.10,0.0220,5,192,134,0.040,1.000,0.023,1
C1_armour_speed_angle,O0_S800_A30,0,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,783.59,0.0220,4,192,160,0.032,0.314,0.020,1
C1_armour_speed_angle,O90_S200_A0,90,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.010,0.001,0.006,1
C1_armour_speed_angle,O90_S200_A10,90,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.010,0.001,0.006,1
C1_armour_speed_angle,O90_S200_A20,90,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.010,0.001,0.006,1
C1_armour_speed_angle,O90_S200_A30,90,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.010,0.001,0.006,1
C1_armour_speed_angle,O90_S400_A0,90,25,40,1,400,0,400,1,0.012,192,1,1913,detonated,237.70,0.0320,4,192,59,1.000,0.033,0.265,1
C1_armour_speed_angle,O90_S400_A10,90,25,40,1,400,10,400,1,0.012,192,1,1913,detonated,234.31,0.0320,4,192,58,1.000,0.032,0.320,1
C1_armour_speed_angle,O90_S400_A20,90,25,40,1,400,20,400,1,0.012,192,1,1913,detonated,223.29,0.0320,4,192,61,1.000,0.030,0.122,1
C1_armour_speed_angle,O90_S400_A30,90,25,40,1,400,30,400,1,0.012,192,1,1913,detonated,257.82,0.0320,3,192,58,0.134,0.012,0.049,1
C1_armour_speed_angle,O90_S600_A0,90,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,506.46,0.0253,5,192,49,1.000,0.080,0.460,1
C1_armour_speed_angle,O90_S600_A10,90,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,504.88,0.0253,5,192,55,1.000,0.073,0.320,1
C1_armour_speed_angle,O90_S600_A20,90,25,40,1,600,20,400,1,0.012,192,1,1913,detonated,499.86,0.0253,4,192,73,1.000,0.057,0.178,1
C1_armour_speed_angle,O90_S600_A30,90,25,40,1,600,30,400,1,0.012,192,1,1913,detonated,490.40,0.0253,4,192,91,1.000,0.042,0.161,1
C1_armour_speed_angle,O90_S800_A0,90,25,40,1,800,0,400,1,0.012,192,1,1913,detonated,707.46,0.0220,7,192,0,0.408,1.000,0.033,1
C1_armour_speed_angle,O90_S800_A10,90,25,40,1,800,10,400,1,0.012,192,1,1913,detonated,705.94,0.0220,6,192,84,0.405,1.000,0.030,1
C1_armour_speed_angle,O90_S800_A20,90,25,40,1,800,20,400,1,0.012,192,1,1913,detonated,701.10,0.0220,5,192,116,0.048,1.000,0.026,1
C1_armour_speed_angle,O90_S800_A30,90,25,40,1,800,30,400,1,0.012,192,1,1913,detonated,721.45,0.0220,4,192,141,0.039,0.509,0.022,1
C1_armour_speed_angle,O180_S200_A0,180,25,40,1,200,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S200_A10,180,25,40,1,200,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S200_A20,180,25,40,1,200,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S200_A30,180,25,40,1,200,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0520,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S400_A0,180,25,40,1,400,0,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S400_A10,180,25,40,1,400,10,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S400_A20,180,25,40,1,400,20,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S400_A30,180,25,40,1,400,30,400,1,0.012,192,1,1913,stopped+det,0.00,0.0320,3,192,0,0.005,0.001,0.004,1
C1_armour_speed_angle,O180_S600_A0,180,25,40,1,600,0,400,1,0.012,192,1,1913,detonated,418.93,0.0253,5,192,0,1.000,0.058,0.156,1
C1_armour_speed_angle,O180_S600_A10,180,25,40,1,600,10,400,1,0.012,192,1,1913,detonated,415.52,0.0253,5,192,0,1.000,0.054,0.142,1
