Aft_Deckhouse                              [12.399999618530273, 23.0, 4.0] | structure
Aft_Platform                               [15.0, 24.0, 0.3499999940395355] | structure
Armour_Belt_229mm                          [26.86969566345215, 114.0, 3.0] | armour_belt
Armour_Belt_Taper_102mm_Aft                [21.40156364440918, 35.53571319580078, 2.799999952316284] | armour_belt
Armour_Belt_Taper_102mm_Fwd                [26.16312599182129, 55.900001525878906, 2.799999952316284] | armour_belt
Armour_Bulkhead_Aft                        [21.862712860107422, 0.100006103515625, 14.828777313232422] | armour_bulkhead
Armour_Bulkhead_Fwd                        [25.011404037475586, 0.09999847412109375, 14.966928482055664] | armour_bulkhead
Armour_Deck_25mm                           [21.075204849243164, 193.33334350585938, 0.02500009536743164] | armour_deck
Armour_Deck_64mm                           [25.916893005371094, 208.14999389648438, 0.06400001049041748] | armour_deck
Armour_Upper_Belt_152mm                    [27.051931381225586, 114.0, 2.4000000953674316] | armour_belt
B_Superfiring_Deckhouse                    [11.800000190734863, 14.0, 3.7478952407836914] | structure
Barbette_A                                 [9.800000190734863, 9.800000190734863, 1.0199999809265137] | barbette
Barbette_B                                 [9.800000190734863, 9.800000190734863, 1.0199999809265137] | barbette
Barbette_Q                                 [9.800000190734863, 9.800000190734863, 1.0199999809265137] | barbette
Barbette_X                                 [9.800000190734863, 9.800000190734863, 1.2200000286102295] | barbette
Barrel_A_Port                              [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_A_Starboard                         [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_B_Port                              [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_B_Starboard                         [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_Q_Port                              [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_Q_Starboard                         [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_X_Port                              [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Barrel_X_Starboard                         [1.0800000429153442, 12.549999237060547, 1.0800000429153442] | main_gun_barrel
Boiler_Room_1                              [14.0, 9.0, 6.0] | boiler_room
Boiler_Room_2                              [14.0, 9.0, 6.0] | boiler_room
Boiler_Room_3                              [14.0, 9.0, 6.0] | boiler_room
Boiler_Room_4                              [14.0, 9.0, 6.0] | boiler_room
Boiler_Room_5                              [14.0, 9.0, 6.0] | boiler_room
Boiler_Room_6                              [13.998254776000977, 9.0, 6.0] | boiler_room
Boiler_Room_7                              [13.864386558532715, 9.0, 6.0] | boiler_room
Bridge                                     [12.399999618530273, 11.800000190734863, 2.9000000953674316] | bridge
Bridge_Upper                               [8.600000381469727, 7.0, 2.799999952316284] | structure
Bridge_Visor                               [10.199999809265137, 8.0, 0.3499999940395355] | structure
Bridge_Wings                               [17.0, 5.0, 0.550000011920929] | structure
Casemate_Openings_Port                     [1.5415468215942383, 44.650001525878906, 1.3949999809265137] | casemate_opening
Casemate_Openings_Starboard                [1.5415468215942383, 44.650001525878906, 1.3949999809265137] | casemate_opening
Casemate_Port_1                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_2                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_3                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_4                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_5                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_6                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_7                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Port_8                            [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_1                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_2                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_3                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_4                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_5                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_6                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_7                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Casemate_Starboard_8                       [0.3799999952316284, 3.4000000953674316, 0.3799999952316284] | secondary_gun
Conning_Tower                              [6.0, 6.0, 8.37608814239502] | conning_tower
Damage_Modules                             [0.0, 0.0, 0.0] | module_group
Deck_Fittings                              [10.800000190734863, 143.62078857421875, 3.1243886947631836] | deck_fitting
Deck_Visual_Details                        [27.12490463256836, 207.0526885986328, 12.108305931091309] | deck_detail
Elevation_A                                [0.0, 0.0, 0.0] | gun_elevation
Elevation_B                                [0.0, 0.0, 0.0] | gun_elevation
Elevation_Q                                [0.0, 0.0, 0.0] | gun_elevation
Elevation_X                                [0.0, 0.0, 0.0] | gun_elevation
Engine_Room_1                              [13.264320373535156, 14.0, 6.0] | engine_room
Engine_Room_2                              [11.775829315185547, 9.0, 6.0] | engine_room
Equipment_Boiler_Room_1                    [13.800000190734863, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_2                    [13.800000190734863, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_3                    [13.800000190734863, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_4                    [13.800000190734863, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_5                    [13.800000190734863, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_6                    [13.79825496673584, 8.75, 3.850001573562622] | interior_equipment
Equipment_Boiler_Room_7                    [13.664386749267578, 8.75, 3.850001573562622] | interior_equipment
Equipment_Engine_Room_1                    [13.06432056427002, 13.75, 3.2400007247924805] | interior_equipment
Equipment_Engine_Room_2                    [11.57582950592041, 8.75, 3.2400004863739014] | interior_equipment
Equipment_Magazine_A                       [8.800000190734863, 6.75, 15.833658218383789] | interior_equipment
Equipment_Magazine_B                       [8.800000190734863, 6.75, 19.520000457763672] | interior_equipment
Equipment_Magazine_Q                       [8.800000190734863, 6.75, 15.49047565460205] | interior_equipment
Equipment_Magazine_X                       [8.642760276794434, 8.75, 14.000873565673828] | interior_equipment
Equipment_Steering_Gear                    [5.1999993324279785, 5.75, 2.1700000762939453] | interior_equipment
FX_Anchors                                 [0.0, 0.0, 0.0] | fx_group
FX_Funnel_1_Smoke                          [0.0, 0.0, 0.0] | fx_anchor
FX_Funnel_2_Smoke                          [0.0, 0.0, 0.0] | fx_anchor
FX_Funnel_3_Smoke                          [0.0, 0.0, 0.0] | fx_anchor
FX_Mast_Fore_Top                           [0.0, 0.0, 0.0] | fx_anchor
FX_Mast_Main_Top                           [0.0, 0.0, 0.0] | fx_anchor
FX_Standard_Aft                            [0.0, 0.0, 0.0] | fx_anchor
Forecastle                                 [27.200000762939453, 124.69999694824219, 2.4499998092651367] | forecastle_deck
Funnel_1                                   [5.839999675750732, 7.878000259399414, 12.541650772094727] | funnel
Funnel_1_Uptake                            [5.880000114440918, 9.880000114440918, 2.450000047683716] | funnel_uptake
Funnel_2                                   [8.039999961853027, 7.387899398803711, 12.541650772094727] | funnel
Funnel_2_Uptake                            [8.520000457763672, 9.229999542236328, 2.450000047683716] | funnel_uptake
Funnel_3                                   [5.839999675750732, 7.878000259399414, 14.381333351135254] | funnel
Funnel_3_Uptake                            [5.880000114440918, 9.880000114440918, 2.450000047683716] | funnel_uptake
Hull                                       [27.200000762939453, 213.39999389648438, 15.0] | hull
Interior_Boiler_Room_1                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_2                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_3                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_4                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_5                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_6                     [0.0, 0.0, 0.0] | interior_module
Interior_Boiler_Room_7                     [0.0, 0.0, 0.0] | interior_module
Interior_Engine_Room_1                     [0.0, 0.0, 0.0] | interior_module
Interior_Engine_Room_2                     [0.0, 0.0, 0.0] | interior_module
Interior_Frames_Bulkheads                  [26.729707717895508, 197.413330078125, 21.793601989746094] | interior_structure
Interior_Magazine_A                        [0.0, 0.0, 0.0] | interior_module
Interior_Magazine_B                        [0.0, 0.0, 0.0] | interior_module
Interior_Magazine_Q                        [0.0, 0.0, 0.0] | interior_module
Interior_Magazine_X                        [0.0, 0.0, 0.0] | interior_module
Interior_Steering_Gear                     [0.0, 0.0, 0.0] | interior_module
Interior_Visual                            [0.0, 0.0, 0.0] | interior_group
Magazine_A                                 [9.0, 7.0, 6.0] | magazine
Magazine_B                                 [9.0, 7.0, 6.0] | magazine
Magazine_Q                                 [9.0, 7.0, 6.0] | magazine
Magazine_X                                 [8.84276008605957, 9.0, 6.0] | magazine
Mast_Fore                                  [9.999998092651367, 2.4000000953674316, 24.0] | pole_mast
Mast_Main                                  [5.59999942779541, 0.47999998927116394, 19.0] | pole_mast
Muzzle_A_Port                              [0.0, 0.0, 0.0] | muzzle
Muzzle_A_Starboard                         [0.0, 0.0, 0.0] | muzzle
Muzzle_B_Port                              [0.0, 0.0, 0.0] | muzzle
Muzzle_B_Starboard                         [0.0, 0.0, 0.0] | muzzle
Muzzle_Q_Port                              [0.0, 0.0, 0.0] | muzzle
Muzzle_Q_Starboard                         [0.0, 0.0, 0.0] | muzzle
Muzzle_X_Port                              [0.0, 0.0, 0.0] | muzzle
Muzzle_X_Starboard                         [0.0, 0.0, 0.0] | muzzle
Presentation_Fittings                      [26.848236083984375, 213.39999389648438, 14.496936798095703] | decoration
Propeller_Shafts                           [15.899999618530273, 33.56855010986328, 5.421361923217773] | propulsion_underwater
Quarterdeck                                [27.200000762939453, 88.69999694824219, 0.6699995994567871] | quarterdeck
Queen_Mary                                 [0.0, 0.0, 0.0] | ship_root
Rangefinder_CT                             [3.5999999046325684, 3.0, 1.7999999523162842] | fire_control
Rigging_Stays                              [20.050634384155273, 91.0494384765625, 33.9183235168457] | rigging
Rudder                                     [0.41999998688697815, 5.599998474121094, 6.800000190734863] | rudder
Steering_Gear                              [4.352526664733887, 6.0, 2.5] | steering_gear
Sternwalk                                  [14.543388366699219, 8.5, 0.3600001335144043] | sternwalk
Sternwalk_Rails                            [14.673388481140137, 8.6300048828125, 1.989999771118164] | sternwalk_rail
Superstructure                             [0.0, 0.0, 0.0] | group
Torpedo_Net_Port_Mesh                      [4.016694068908691, 156.04769897460938, 3.2251007556915283] | stowed_net_mesh
Torpedo_Net_Port_Stowed                    [0.0, 0.0, 0.0] | stowed_net
Torpedo_Net_Starboard_Mesh                 [4.016694068908691, 156.04769897460938, 3.2251007556915283] | stowed_net_mesh
Torpedo_Net_Starboard_Stowed               [0.0, 0.0, 0.0] | stowed_net
Turret_A                                   [9.787213325500488, 9.177038192749023, 3.799999952316284] | main_turret
Turret_B                                   [9.787213325500488, 9.177038192749023, 3.799999952316284] | main_turret
Turret_Q                                   [9.787213325500488, 9.177038192749023, 3.799999952316284] | main_turret
Turret_X                                   [9.787213325500488, 9.177038192749023, 3.799999952316284] | main_turret
